source_id	logical_source	carrier_or_pointer	file_sha256	units
S01	openspec/project.md	active-originals/openspec-project-original.md	bf5fcffdf0ec52c61c9a2cdf56aacb405c9452f94ad16836e39208ef820ca3c0	61
S02	.claude/docs/tasks.md	active-originals/tasks-original.md	d7e7df29d21d01970c9aca50ced8e725d035594981fa43b7bb7b0f1a2411592f	156
S03	openspec/changes/archive/2026-07-02-ARC-202607021535/.openspec.yaml	openspec/changes/archive/2026-07-02-ARC-202607021535/.openspec.yaml	b252b19a2d9521b3628fe6020154c286010cf20b7345ea71a0a6485e54bb34b4	1
S04	openspec/changes/archive/2026-07-02-ARC-202607021535/proposal.md	openspec/changes/archive/2026-07-02-ARC-202607021535/proposal.md	41f80adfd97950ba619c1ac7f3c108e33cea4971c08e58a3bdd4acb234d495b7	40
S05	openspec/changes/archive/2026-07-02-ARC-202607021535/specs/optimization/spec.md	openspec/changes/archive/2026-07-02-ARC-202607021535/specs/optimization/spec.md	59130ba34a92d4968b37f1e72b94b5ccbb3d5e3e4044a22a777911204bd55794	56
S06	openspec/changes/archive/2026-07-02-ARC-202607021535/tasks.md	openspec/changes/archive/2026-07-02-ARC-202607021535/tasks.md	19aa9f72fb7bda6d426fdbfc045a29547af4168ca498121860bf6638a316578f	11
S07	openspec/changes/archive/2026-07-02-ARC-202607021648/.openspec.yaml	openspec/changes/archive/2026-07-02-ARC-202607021648/.openspec.yaml	33994ab5c77ec30fbf1a4c256df1e6eedc3a8bae65ee9e4c648410ce56012978	1
S08	openspec/changes/archive/2026-07-02-ARC-202607021648/proposal.md	openspec/changes/archive/2026-07-02-ARC-202607021648/proposal.md	5ad5fc297048773ff74e0f5c2e605811642ff6a0cb293d2ee678e7c3d63ce441	35
S09	openspec/changes/archive/2026-07-02-ARC-202607021648/specs/architecture/spec.md	openspec/changes/archive/2026-07-02-ARC-202607021648/specs/architecture/spec.md	2b1e46444c0dc6b3bc36f06cba95941f674c39cc0609e36129f2bf5b1ed4b597	12
S10	openspec/changes/archive/2026-07-02-ARC-202607021648/specs/learned/spec.md	openspec/changes/archive/2026-07-02-ARC-202607021648/specs/learned/spec.md	4c2fc03d85b8d0652d36c101efadb25e20cf9b9254a92b3c60c8906e3023dea0	20
S11	openspec/changes/archive/2026-07-02-ARC-202607021648/specs/optimization/spec.md	openspec/changes/archive/2026-07-02-ARC-202607021648/specs/optimization/spec.md	32ea70dbd42b430f01d1e89a5b733efcd395952954827da3972a50f4494d0ab6	20
S12	openspec/changes/archive/2026-07-02-ARC-202607021648/specs/references/spec.md	openspec/changes/archive/2026-07-02-ARC-202607021648/specs/references/spec.md	bfd5a318d953283c4a64d3c0e4e89dd82fe3b7fb00a17394a764499121aab304	12
S13	openspec/changes/archive/2026-07-02-ARC-202607021648/specs/snapshot/spec.md	openspec/changes/archive/2026-07-02-ARC-202607021648/specs/snapshot/spec.md	565c28d81626cdb82d893c8d2e365ed2dfd5a4f188cd010c142914bfbddb042b	7
S14	openspec/changes/archive/2026-07-02-ARC-202607021648/specs/tasks/spec.md	openspec/changes/archive/2026-07-02-ARC-202607021648/specs/tasks/spec.md	bd833d53f98dbcbdfa9916e98c4fdbd3053227e7ec9e87b11cc3a82c94305387	16
S15	openspec/changes/archive/2026-07-02-ARC-202607021648/tasks.md	openspec/changes/archive/2026-07-02-ARC-202607021648/tasks.md	9421245c70952aa0103feaf45edd4fab4cb25fdaaee827223c90154e1ab8b6de	9
S16	openspec/changes/archive/2026-07-03-ARC-202607031929/.openspec.yaml	openspec/changes/archive/2026-07-03-ARC-202607031929/.openspec.yaml	d216ec3c119da9c5ce83005ed2099ed8ee8b08d9ab893e459fa9fe562666d03b	1
S17	openspec/changes/archive/2026-07-03-ARC-202607031929/proposal.md	openspec/changes/archive/2026-07-03-ARC-202607031929/proposal.md	727c1c5a56d10b77687ddc662075dde7803634d30b2b55bde9f2607d728c0a0d	29
S18	openspec/changes/archive/2026-07-03-ARC-202607031929/specs/docs/spec.md	openspec/changes/archive/2026-07-03-ARC-202607031929/specs/docs/spec.md	cd693a3893abf91c253af5bf5f86765a14d5ce17566380b039b30f906d817de8	19
S19	openspec/changes/archive/2026-07-03-ARC-202607031929/specs/optimization/spec.md	openspec/changes/archive/2026-07-03-ARC-202607031929/specs/optimization/spec.md	ca69689bd2323067a0a6321ea587344c987ba8afeb2643b027b60c0a8c7fe030	17
S20	openspec/changes/archive/2026-07-03-ARC-202607031929/tasks.md	openspec/changes/archive/2026-07-03-ARC-202607031929/tasks.md	b03a408fc5e0ddc0db97c28d5fa5a40ff6a9595a387e5b0b25a7da92fd866251	5
S21	openspec/changes/archive/2026-07-08-ARC-202607081429/.openspec.yaml	openspec/changes/archive/2026-07-08-ARC-202607081429/.openspec.yaml	52cb9011063aad1123265760c4707f7a8309e196f5590037fd196bda5140f7bc	1
S22	openspec/changes/archive/2026-07-08-ARC-202607081429/proposal.md	openspec/changes/archive/2026-07-08-ARC-202607081429/proposal.md	7aa139a1cebd5a94efe6e4fcb710dfafa2616ba7549ee48983891b18a546280f	45
S23	openspec/changes/archive/2026-07-08-ARC-202607081429/specs/architecture/spec.md	openspec/changes/archive/2026-07-08-ARC-202607081429/specs/architecture/spec.md	1511b3afb24b29ef3d5f656612b145f39b0e77d38f238d7b3acae942bbb7eb72	36
S24	openspec/changes/archive/2026-07-08-ARC-202607081429/specs/learned/spec.md	openspec/changes/archive/2026-07-08-ARC-202607081429/specs/learned/spec.md	5e6c2b80350ca79e5620c687877b4efb4a709526f1ec9afbed10782b049a18d4	132
S25	openspec/changes/archive/2026-07-08-ARC-202607081429/tasks.md	openspec/changes/archive/2026-07-08-ARC-202607081429/tasks.md	b7efe7a3cf2346604e1ef6a2d2c952f1eb85aee08afc642f3eb3ea388c2756b9	28
S26	openspec/changes/archive/2026-07-11-ARC-202607111510/.openspec.yaml	openspec/changes/archive/2026-07-11-ARC-202607111510/.openspec.yaml	289b6496420474bf660cc8379f66b7d92c6fd423115062b27500fd2bd6c25397	1
S27	openspec/changes/archive/2026-07-11-ARC-202607111510/proposal.md	openspec/changes/archive/2026-07-11-ARC-202607111510/proposal.md	174305cefe2723bd3522d689a289c31d183b46c5e2161fd6cbfaada3580c22a4	38
S28	openspec/changes/archive/2026-07-11-ARC-202607111510/specs/optimization/spec.md	openspec/changes/archive/2026-07-11-ARC-202607111510/specs/optimization/spec.md	48d620dc7a3cf9852952ad8a364bdc7c65b5cb429fdf297506b6e941c4863859	25
S29	openspec/changes/archive/2026-07-11-ARC-202607111510/specs/tasks/spec.md	openspec/changes/archive/2026-07-11-ARC-202607111510/specs/tasks/spec.md	b525e683039370dfee83f8e2b230fd9dd1179ef7325a916174cbd3ac65da7d21	45
S30	openspec/changes/archive/2026-07-11-ARC-202607111510/tasks.md	openspec/changes/archive/2026-07-11-ARC-202607111510/tasks.md	0d51ed2edb3662b3a06c1dd99df4450b6d8af4042c1aa0618a4e056e7a6297bc	7
S31	openspec/changes/archive/2026-07-15-arc-202607152005/.openspec.yaml	openspec/changes/archive/2026-07-15-arc-202607152005/.openspec.yaml	70eeb937bc6e90057d85904c3b51e7868ce95594debd9dd389eb706d7810490d	1
S32	openspec/changes/archive/2026-07-15-arc-202607152005/README.md	openspec/changes/archive/2026-07-15-arc-202607152005/README.md	838837a7cee822c20df76c63eb5e9ecdbffdbbcd3a7d332c243980be5dc69b96	2
S33	openspec/changes/archive/2026-07-15-arc-202607152005/design.md	openspec/changes/archive/2026-07-15-arc-202607152005/design.md	04603fff15b45c0f78f332525878d453de1d65f980404572933ed2ceabbca385	11
S34	openspec/changes/archive/2026-07-15-arc-202607152005/proposal.md	openspec/changes/archive/2026-07-15-arc-202607152005/proposal.md	9c843f2ccebb4a582bcc1b95ed186daa50a517b7b94bd0bd7c47a73d6aeca52c	21
S35	openspec/changes/archive/2026-07-15-arc-202607152005/specs/architecture/spec.md	openspec/changes/archive/2026-07-15-arc-202607152005/specs/architecture/spec.md	c60124c4b2f080fe6537fd09bd61ec6a439cd31eb5a2c4d5d934d520b3e711fe	25
S36	openspec/changes/archive/2026-07-15-arc-202607152005/tasks.md	openspec/changes/archive/2026-07-15-arc-202607152005/tasks.md	987d4a562ed90a342b9c0ad07fc3e7b941da0d7408522dd816889f5899ed4c0c	8
S37	openspec/changes/archive/mig-20260720-legacy-specs/architecture-original.md	openspec/changes/archive/mig-20260720-legacy-specs/architecture-original.md	5b054d98c039965b252a2974eb29bb0f9625e1b075043223eb5331c3cf95563a	611
S38	openspec/changes/archive/mig-20260720-legacy-specs/coverage-checklist.md	openspec/changes/archive/mig-20260720-legacy-specs/coverage-checklist.md	e68e69cfc4ad29e73f188de71f41c0bd4fb252d4528a357e3616ada10a9b16ce	103
S39	openspec/changes/archive/mig-20260720-legacy-specs/learned-original.md	openspec/changes/archive/mig-20260720-legacy-specs/learned-original.md	f09d4cae30cd87ea816940e304fd8d8e4a0adc84615ef38ce99577c2d66beec9	722
S40	openspec/changes/archive/mig-20260720-legacy-specs/optimization-original.md	openspec/changes/archive/mig-20260720-legacy-specs/optimization-original.md	2ffa3af2a3b14f26ebc159fc51c06cde8fcd57414c0f1a345024f1b1c010f6f8	315
S41	openspec/changes/archive/mig-20260720-legacy-specs/proposal.md	openspec/changes/archive/mig-20260720-legacy-specs/proposal.md	c7f857a7c7c06b4f074db6b5d164135d672390bf9c630e4f3b1712c81de0008e	38
