target	verified	units	source_files	legacy_ids
SNAPSHOT	yes	87	3	5
MS01	yes	238	6	173
MS02	yes	31	1	40
MS03	yes	12	1	11
MS04	yes	5	1	9
CLAUDE	yes	5	1	0
D01	yes	329	5	92
D02	yes	11	2	2
D03	yes	16	2	4
D04	yes	11	2	2
D05	yes	92	5	20
D06	yes	11	2	2
D07	yes	9	2	2
D08	yes	39	4	23
D09	yes	46	4	31
D10	yes	29	4	23
D11	yes	21	2	2
D12	yes	7	2	2
D13	yes	36	2	2
D14	yes	4	2	3
D15	yes	10	2	6
D16	yes	28	2	20
D17	yes	27	3	24
D18	yes	7	2	11
D19	yes	15	3	18
D20	yes	10	2	11
D21	yes	32	2	5
I01	yes	15	3	18
I02	yes	32	2	24
I03	yes	21	2	22
I04	yes	8	2	22
I05	yes	26	3	42
I06	yes	22	3	32
I07	yes	33	2	7
I08	yes	188	6	79
I09	yes	30	3	3
I10	yes	17	2	5
K01	yes	169	3	65
K02	yes	23	2	9
K03	yes	2	1	1
K04	yes	2	1	1
K05	yes	17	2	6
K06	yes	9	1	2
K07	yes	14	1	1
K08	yes	61	2	11
K09	yes	29	1	6
K10	yes	8	2	10
K11	yes	46	2	12
K12	yes	330	7	140
K13	yes	55	2	9
K14	yes	18	1	3
K15	yes	1	1	1
K16	yes	31	4	46
K17	yes	9	1	18
K18	yes	3	1	5
K19	yes	23	2	18
K20	yes	36	5	58
K21	yes	10	1	23
K22	yes	13	3	25
K23	yes	54	2	28
K24	yes	8	2	20
K25	yes	6	1	3
K26	yes	64	1	9
K27	yes	22	1	8
K28	yes	347	3	126
K29	yes	11	2	15
K30	yes	61	2	11
M01	yes	344	6	92
M02	yes	11	2	2
M03	yes	16	2	4
M04	yes	11	2	2
M05	yes	16	2	7
M06	yes	11	2	2
M07	yes	9	2	2
M08	yes	18	3	11
M09	yes	31	4	23
M10	yes	24	3	18
M11	yes	8	2	2
M12	yes	17	4	16
M13	yes	21	2	2
M14	yes	71	5	19
M15	yes	7	2	2
M16	yes	36	2	2
M17	yes	4	2	3
M18	yes	4	2	3
M19	yes	3	2	2
M20	yes	4	2	3
M21	yes	4	2	4
M22	yes	3	2	2
M23	yes	3	2	3
M24	yes	3	2	3
M25	yes	3	2	2
M26	yes	3	2	3
M27	yes	3	2	2
M28	yes	3	2	3
M29	yes	4	2	4
M30	yes	4	2	4
M31	yes	24	3	23
M32	yes	7	2	11
M33	yes	7	2	11
M34	yes	6	2	5
M35	yes	14	3	18
M36	yes	10	2	11
M37	yes	8	2	4
M38	yes	28	2	4
M39	yes	3	2	3
M40	yes	6	2	2
R10	yes	1	1	3
R29	yes	5	1	0
R47	yes	448	23	199
